	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_1	Archaea						
OTU_2	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
OTU_3	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Candidatus Scalindua	
OTU_4	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales			
OTU_5	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae		
OTU_6	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	
OTU_7	Bacteria	SAR324 clade(Marine group B)					
OTU_8	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales			
OTU_9	Bacteria	Schekmanbacteria					
OTU_10	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales			
OTU_11	Bacteria	Chloroflexi	Dehalococcoidia	S085			
OTU_12	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	
OTU_13	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4		
OTU_14	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
OTU_15	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
OTU_16	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Candidatus Scalindua	
OTU_17	Bacteria	Gemmatimonadota	PAUC43f marine benthic group				
OTU_18	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales			
OTU_19	Bacteria	Marinimicrobia (SAR406 clade)					
OTU_20	Bacteria	Planctomycetota	Phycisphaerae	C86			
OTU_21	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales			
OTU_22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
OTU_23	Bacteria	Chloroflexi	JG30-KF-CM66				
OTU_24	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_25	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_26	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae		
OTU_27	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_28	Bacteria						
OTU_29	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales			
OTU_30	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteria group 2			
OTU_31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	
OTU_32	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	
OTU_33	Bacteria	SAR324 clade(Marine group B)					
OTU_34							
OTU_35	Bacteria	SAR324 clade(Marine group B)					
OTU_36	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	
OTU_38	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4		
OTU_39	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_40	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
OTU_41	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae		
OTU_42	Bacteria	Methylomirabilota	Methylomirabilia	Methylomirabilales	Methylomirabilaceae	wb1-A12	
OTU_43	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales			
OTU_44	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae		
OTU_45	Bacteria	Parcubacteria	Candidatus Yanofskybacteria				
OTU_46	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_47	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade			
OTU_48	Bacteria	Chloroflexi	JG30-KF-CM66				
OTU_49	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23			
OTU_50	Bacteria	Chloroflexi	JG30-KF-CM66				
OTU_51	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
OTU_52	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales			
OTU_53	Bacteria	Chloroflexi	Dehalococcoidia	S085			
