"X16SBac","X16SBac_SD","X16SArc","X16SArc_SD","amoAArc","amoAArc_SD","hzo","hzo_SD"
106065142.299107,5064385.46316964,7880945.69614955,398510.284423828,651000,90000,2505,250.5
66189989.6056867,9161256.66409603,7216131.51321084,1446083.06229882,988000,82500,2505,250.5
69938416.6666667,2650496.90755208,9840901.04166667,990598.388671875,1790000,127000,2505,250.5
17644898.4375,797438.452148438,4862587.5,197133.178710937,1080000,76400,2505,250.5
3713945.68583375,428279.859823001,1134485.30538701,33423.598383514,224000,19900,2505,250.5
2540451.20497881,335754.256598693,947198.107013595,40323.7165030787,198000,23100,2505,250.5
1235849.28692512,79119.6398465138,516123.081423202,37100.5364184109,96600,9680,2505,250.5
2875235.91905159,334293.210384048,1456586.48293121,44777.2298260636,241000,19000,2505,250.5
207546.851748512,50748.8205319359,129836.009797596,14264.6494365874,23000,3290,2505,250.5
209413.951286266,23934.3324607469,148890.096867162,8994.7837035206,21800,6100,2505,250.5
241837.232185133,2764.71224698153,171416.773940577,17510.0199381511,44000,2500,2505,250.5
138839.382953926,12811.0220265943,125502.356111877,6183.93053212075,26500,6030,2505,250.5
33727.5207358062,4854.63520837209,26980.3788926866,1367.95018715833,3830,1150,2505,250.5
1487441.74179873,182682.829219584,1165206.83686315,54884.812052216,357000,44200,2505,250.5
1119133.54697348,3112.73406533634,1021950.0886292,143980.311546005,281000,1130,2505,250.5
1503107.58359873,63317.2296414709,1221362.38243929,351451.587069565,389000,161000,2505,250.5
2039381.8359375,124670.945111443,1408110.7823989,129730.364631204,503000,3990,2505,250.5
1298103.20723684,88708.6245888158,984347.630550987,55237.3930278578,352000,111000,2505,250.5
842634.946341192,89419.8733292441,678241.944228203,87787.229056036,232000,18800,2505,250.5
508137.391909523,46852.2970112527,482717.034430919,18454.9205036084,150000,12400,2505,250.5
351839.094895582,30420.4273223877,358128.133920522,43040.7978938176,141000,190,2505,250.5
233411.621925575,7757.45658289635,198330.314155331,9459.81885139946,64400,5780,2505,250.5
849258.588005515,9654.96556899127,393500.674977021,23731.8474264706,161000,12900,2505,250.5
479951.060901988,51613.9120843471,151179.578179779,11382.0446759635,48400,7390,2505,250.5
173092.935251635,14706.8766660468,44989.0580288199,792.605377906977,17800,1530,2505,250.5
959505.131559552,55755.0577520302,422040.956997749,43872.7494987371,139000,8470,2505,250.5
294895.669812353,30215.0163026613,137740.738057645,12587.9501627984,57800,7190,2505,250.5
765947.326383979,83925.3041539257,229571.754144867,30559.7745455228,85000,5140,2505,250.5
871796.514704364,102971.467677717,300854.283807562,26221.9206352065,87500,10900,2505,250.5
963326.231060606,83041.7055072206,469782.381924715,46854.5717181582,127000,9030,2505,250.5
1043489.15115387,27586.5474540389,401694.098646511,72804.7800924114,121000,28000,2505,250.5
877090.74867278,62255.6030980408,289992.985670171,22217.3455138925,671,115,2505,250.5
1007748.2358871,181252.579227571,397243.219191027,65451.5075683594,225000,42700,2505,250.5
966720.608302525,124288.834844317,438881.083897182,2112.35183690275,96100,7260,2505,250.5
1584677.21121652,151654.554094587,440293.535505021,79305.2618844168,124000,17100,2505,250.5
732806.989698637,251612.956168584,287097.748000472,31796.8677496035,92600,7310,2505,250.5
623853.238143585,107670.079033805,194573.194865088,47503.3360955998,71600,1460,2505,250.5
1352153.55657762,177351.730100571,385450.449297505,28873.3259324105,130000,8300,2505,250.5
1428399.21955211,226808.269900218,431376.030704569,37766.9998262942,78300,9830,2505,250.5
214954.767843616,13454.0583244295,68664.0460228285,3938.3764955934,14700,4750,2505,250.5
321359.042463631,31386.6231633329,95706.5626122486,5795.93592676623,53100,1870,2505,250.5
350388.149539799,19863.0717690922,118932.846789708,10012.6446572496,66000,6760,2505,250.5
333553.277489973,54740.3141776508,83989.1647910052,808.847715510404,42400,2690,2505,250.5
358739.600548377,29003.2724233774,87107.3825542744,11447.8353353647,40100,7260,2505,250.5
422561.325672932,77732.6742113938,164353.449792321,17097.8117197361,44000,10300,2505,250.5
393379.945087647,71994.4663295358,229205.143155686,22671.6190105637,80200,6960,2505,250.5
382058.806466584,58786.6090075804,142313.4409083,31888.5538837697,46800,4670,2505,250.5
321773.441395861,95534.3238343585,151049.700797872,28612.4038696289,53400,5900,2505,250.5
298755.867731892,33150.0083718148,101131.982033876,19977.127019234,18300,1150,2505,250.5
208094.031896718,15892.4146214291,73475.0041925478,4972.5002310534,26200,454,2505,250.5
117557.010461788,3220.49631930814,43795.492342203,3916.49538927739,21900,8180,2505,250.5
352977.999069112,42718.2254918699,192877.978896246,4515.92974248601,74100,17700,2505,250.5
276764.131433824,36570.2617869657,114145.373176126,7788.05957121007,41100,2650,2505,250.5
307006.111054409,21235.5901396473,157337.255772389,23886.5351733572,83200,19000,2505,250.5
430384.938309831,62761.8810818624,237369.322512472,9831.31539795193,126000,14100,2505,250.5
268701.578776041,2918.36787492801,105953.439565805,4615.34549028445,56000,7330,2505,250.5
170181.02389663,14159.8644541271,79054.9662575793,1160.53552769903,41400,4880,2505,250.5
263327.266393083,38945.1830574636,138283.075911275,7214.02168273926,69300,13800,2505,250.5
16440.8503712474,614.987720142712,246.903821304962,74.9178960189953,95,9.5,2505,250.5
29553.3758825837,1500.20162430767,13326.7466493231,1456.7694404634,3490,371,2505,250.5
22565.7124033589,2392.12790546694,2674.94968961529,433.356350524014,732,309,2505,250.5
