Age,OTU_3_Median,OTU_3_LowerQuantile,OTU_3_UpperQuantile,OTU_16_Median,OTU_16_LowerQuantile,OTU_16_UpperQuantile,hzo_Median,hzo_LowerQuantile,hzo_UpperQuantile
-64,1.0,1.0,1.0,1.0,1.0,1.0,2501.0654729115536,2354.580762439569,2659.452066109387
-14,1.0,1.0,1.0,1.0,1.0,1.0,2504.364867629735,2356.333414509372,2647.7117810943896
36,1.0,1.0,1.0,1.0,1.0,1.0,2502.517797204883,2356.1370421143433,2647.9161311203193
86,1.0,1.0,1.0,1.0,1.0,1.0,2505.725643564541,2359.3454811002616,2649.178202779535
136,1.0,1.0,1.0,1.0,1.0,1.0,2506.6001603143695,2361.9679662702274,2650.280826766116
186,1.0,1.0,1.0,1.0,1.0,1.0,2505.369899979112,2362.3298438643,2646.527850092413
236,1.0,1.0,1.0,1.0,1.0,1.0,2504.883011403356,2363.0874752570116,2645.7456821803157
286,1.0,1.0,1.0,1.0,1.0,1.0,2504.395405410019,2363.954018378741,2644.8367924412973
336,1.0,1.0,1.0,1.0,1.0,1.0,2505.6873003155797,2364.9464553126886,2643.6685209066495
386,1.0,1.0,1.0,1.0,1.0,1.0,2505.814959204035,2365.0153976594825,2644.5739473928693
436,1.0,1.0,1.0,1.0,1.0,1.0,2505.5359045896657,2366.044809732658,2644.0377009015883
486,1.0,1.0,1.0,1.0,1.0,1.0,2506.2610741630947,2366.832711843604,2643.739389457138
536,1.0,1.0,1.0,1.0,1.0,1.0,2505.627852877027,2366.5021725632755,2642.7801192856186
586,1.0,1.0,1.0,1.0,1.0,1.0,2505.7472225551105,2366.71038582328,2642.811905574433
636,1.0,1.0,1.0,1.0,1.0,1.0,2506.11545315147,2367.026987278957,2643.080430995394
686,1.0,1.0,1.0,1.0,1.0,1.0,2505.9767984823866,2367.962162540126,2642.953730395006
736,1.0,1.0,1.0,1.0,1.0,1.0,2505.740874906155,2368.2911659501833,2642.164839765441
786,1.0,1.0,1.0,1.0,1.0,1.0,2505.8707298347035,2369.277050114526,2642.464409554881
836,1.0,1.0,1.0,1.0,1.0,1.0,2505.645218334713,2368.69099254363,2641.6141619258597
886,1.0,1.0,1.0,1.0,1.0,1.0,2505.8057576454944,2368.997007045429,2641.6442334186086
936,1.0,1.0,1.0,1.0,1.0,1.0,2504.758112659607,2368.359585509508,2641.1566398097057
986,1.0,1.0,1.0,1.0,1.0,1.0,2505.321676844328,2368.8270745097457,2640.8617714702773
1036,1.0,1.0,1.0,1.0,1.0,1.0,2504.874578761584,2368.425212615458,2641.32394490771
1086,1.0,1.0,1.0,1.0,1.0,1.0,2504.5204253063657,2369.2584573288414,2640.7555009671814
1136,1.0,1.0,1.0,1.0,1.0,1.0,2504.708058105781,2368.7960612028996,2640.620055008663
1186,1.0,1.0,1.0,1.0,1.0,1.0,2504.7979719501136,2368.9036905652733,2640.692253334954
1236,1.0,1.0,1.0,1.0,1.0,1.0,2505.2946354533856,2369.8396445871276,2640.749626319643
1286,1.0,1.0,1.0,1.0,1.0,1.0,2505.110315165283,2369.60990454167,2640.6107257888953
1336,1.0,1.0,1.0,1.0,1.0,1.0,2505.383415764623,2369.5421534972916,2640.261264824384
1386,1.0,1.0,1.0,1.0,1.0,1.0,2505.487870364424,2370.2549355351894,2639.7264453787384
1436,1.0,1.0,1.0,1.0,1.0,1.0,2504.9285974267723,2369.3432790755865,2640.5139157779586
1486,1.0,1.0,1.0,1.0,1.0,1.0,2505.5879753456516,2369.376212522705,2639.8676564264288
1536,1.0,1.0,1.0,1.0,1.0,1.0,2505.6538131423854,2369.8727713320372,2639.5748406813586
1586,1.0,1.0,1.0,1.0,1.0,1.1047730372098818,2506.241519009015,2370.071931952547,2640.2834562677263
1636,1.0,1.0,1.0,1.0,1.0,1.20197249045998,2505.0972188705896,2369.878280444605,2641.3104141967647
1686,1.0,1.0,1.0,1.0,1.0,1.3168648612975604,2505.062808760142,2370.026314891747,2641.107037657406
1736,1.0,1.0,1.0,1.0,1.0,1.427039385922407,2505.6639899985494,2370.056296275865,2641.271683721234
1786,1.0,1.0,1.0,1.0,1.0,1.474723092970259,2505.5747363375103,2370.43431621937,2640.7151564556507
1836,1.0,1.0,1.0,1.0,1.0,1.5560946553044332,2505.5571937107707,2370.6524597811663,2641.491734769609
1886,1.0,1.0,1.0,1.0,1.0,1.6096785151435693,2505.4420545553476,2369.947549132685,2640.93655997801
1936,1.0,1.0,1.0,1.0,1.0,1.6817891469006359,2505.5223529894965,2369.5261638897455,2641.518542089247
1986,1.0,1.0,1.0,1.0,1.0,1.6902494082314172,2505.518155476543,2369.6795685689076,2641.356742384179
2036,1.0,1.0,1.0,1.0,1.0,1.7421460980755195,2505.153588321648,2369.0612941778927,2642.2927462665084
2086,1.0,1.0,1.0,1.0,1.0,1.7653717513427358,2504.7752200496366,2369.3849768131236,2642.2168306079143
2136,1.0,1.0,1.0,1.0,1.0,1.8233485264747058,2505.181483046254,2369.070251203943,2642.3084703500754
2186,1.0,1.0,1.0,1.0,1.0,1.8525888087072249,2504.42485000793,2369.2409607564446,2641.704613511377
2236,1.0,1.0,1.0,1.0,1.0,1.8752077541825396,2504.7418100646814,2369.086072044435,2641.4024054035967
2286,1.0,1.0,1.0,1.0,1.0,1.905006514463024,2504.949735252185,2369.7596073508184,2641.1195017615323
2336,1.0,1.0,1.0,1.0,1.0,1.891165251005059,2505.026252985529,2369.57867612771,2641.4210156955005
2386,1.0,1.0,1.0,1.0,1.0,1.9377409380105468,2505.680611131898,2369.981844983376,2641.3793772804192
2436,1.0,1.0,1.0,1.0,1.0,1.9863006770593874,2505.7435081650133,2369.689176417012,2641.7978399130143
2486,1.0,1.0,1.0,1.0,1.0,2.009782734600934,2505.735677435197,2370.4059516151024,2641.0654032552916
2536,1.0,1.0,1.0,1.0,1.0,2.0320559872623014,2505.272186840518,2370.2572626179394,2641.294685124459
2586,1.0,1.0,1.0,1.0,1.0,2.0227251215476176,2505.4564768122364,2369.9360950289592,2640.9768585955135
2636,1.0,1.0,1.0,1.0,1.0,2.0603701349970795,2504.5908865619667,2370.2903352443655,2640.782994940379
2686,1.0,1.0,1.0,1.0,1.0,2.0739212379618666,2504.36398805543,2369.9525257035802,2640.6294016121333
2736,1.0,1.0,1.0,1.0,1.0,2.093036382900181,2504.867880065045,2370.290101326061,2640.3737814160218
2786,1.0,1.0,1.0,1.0,1.0,2.1145289779531877,2504.5069832427894,2369.6604485400912,2640.277124347561
2836,1.0,1.0,1.0,1.0,1.0,2.0879473468606387,2504.6130210523265,2369.268507640222,2639.9575344644313
2886,1.0,1.0,1.0,1.0,1.0,2.089989764173623,2503.9635063673445,2369.2306106451288,2640.6350049057073
2936,1.0,1.0,1.0,1.0,1.0,2.0558496990831885,2504.2256919881843,2369.169763357114,2640.239464084723
2986,1.0,1.0,1.0,1.0,1.0,2.0221751218492123,2503.945643883213,2369.6006808695506,2640.1827894745325
3036,1.0,1.0,1.0,1.0,1.0,2.012507542353086,2504.4773616988014,2369.793354372658,2640.0838622258084
3086,1.0,1.0,1.0,1.0,1.0,2.0097046246761323,2504.7458351357564,2369.4405142677447,2640.984296147685
3136,1.0,1.0,1.0,1.0,1.0,1.996270521838484,2504.961175074152,2368.8704422895703,2640.0585448457073
3186,1.0,1.0,1.0,1.0,1.0,1.9458098059300797,2505.4270693670346,2369.281698052411,2640.578678847245
3236,1.0,1.0,1.0,1.0,1.0,1.914142997043384,2504.4534134566834,2369.6881851813473,2640.216902682207
3286,1.0,1.0,1.0,1.0,1.0,1.8598442008983445,2504.59191576392,2369.4532459641327,2639.7305855637073
3336,1.0,1.0,1.0,1.0,1.0,1.791063802659844,2505.0484458444894,2369.1824760566506,2640.914415632328
3386,1.0,1.0,1.0,1.0,1.0,1.7363396226116634,2505.3308520908818,2368.907400000603,2640.758512560064
3436,1.0,1.0,1.0,1.0,1.0,1.6182046488008874,2504.7921594789045,2369.466884953988,2640.1174340038215
3486,1.0,1.0,1.0,1.0,1.0,1.5278126308678666,2505.1113489699005,2368.6161161928585,2640.595505948594
3536,1.0,1.0,1.0,1.0,1.0,1.4484217480959842,2505.215899291421,2368.156626256032,2641.267383554491
3586,1.0,1.0,1.0,1.0,1.0,1.3670898236207323,2504.4669798979007,2369.037632765627,2640.8776991108425
3636,1.0,1.0,1.0,1.0,1.0,1.2910497250485182,2504.5109547558764,2368.715069091806,2641.2980512642102
3686,1.0,1.0,1.0,1.0,1.0,1.218634809544023,2504.642009967691,2368.56863846298,2640.715381472402
3736,1.0,1.0,1.0,1.0,1.0,1.106788330609604,2504.8163634610214,2369.55445606233,2640.078270859713
3786,1.0,1.0,1.0,1.0,1.0,1.0142595778277044,2504.4370028456997,2369.3172138160157,2640.572730138765
3836,1.0,1.0,1.0,1.0,1.0,1.0,2504.123933505634,2369.7794738115003,2640.458681491533
3886,1.0,1.0,1.0,1.0,1.0,1.0,2504.8598083625957,2370.3629693703033,2640.317339061976
3936,1.0,1.0,1.0,1.0,1.0,1.0,2504.86235869054,2370.0968454335753,2639.627871947505
3986,1.0,1.0,1.0,1.0,1.0,1.0,2504.863503903096,2369.0242482064486,2639.7594314351836
4036,1.0,1.0,1.0,1.0,1.0,1.0,2505.2038867394244,2369.6777786989455,2638.834524737379
4086,1.0,1.0,1.0,1.0,1.0,1.0,2505.36907105124,2368.8640270385968,2639.895781092686
4136,1.0,1.0,1.0,1.0,1.0,1.0,2504.6975593124275,2368.9210971813272,2639.4607642634446
4186,1.0,1.0,1.0,1.0,1.0,1.0,2504.388988722453,2368.8203562048907,2639.957621240016
4236,1.0,1.0,1.0,1.0,1.0,1.0,2504.699748457686,2369.070521888966,2640.328975026406
4286,1.0,1.0,1.0,1.0,1.0,1.0,2504.644136788318,2369.2814018616036,2640.0068717150325
4336,1.0,1.0,1.0,1.0,1.0,1.0,2504.706688245342,2369.3816344655193,2640.0317420251645
4386,1.0,1.0,1.0,1.0,1.0,1.0,2505.4728895067196,2369.025691147826,2639.928157962564
4436,1.0,1.0,1.0,1.0,1.0,1.0,2505.043091145858,2369.4920615024266,2640.594120789289
4486,1.0,1.0,1.0,1.0,1.0,1.0,2505.495644911772,2369.427639665492,2640.612125645841
4536,1.0,1.0,1.0,1.0,1.0,1.0,2504.9650382394616,2369.853780223275,2640.076296255648
4586,1.0,1.0,1.0,1.0,1.0,1.0,2504.891560183671,2369.849585637832,2639.9335347295096
4636,1.0,1.0,1.0,1.0,1.0,1.0,2505.117805104275,2369.0613166649755,2640.1664677032823
4686,1.0,1.0,1.0,1.0,1.0,1.0,2504.866983218086,2369.3484801360537,2639.3588309737397
4736,1.0,1.0,1.0,1.0,1.0,1.0,2504.7878992025585,2369.5762607554666,2639.99953764965
4786,1.0,1.0,1.0,1.0,1.0,1.0,2505.04001205808,2368.565180507095,2640.5604741576594
4836,1.0,1.0,1.0,1.0,1.0,1.0,2504.416729267704,2368.9500682962534,2640.830709546647
4886,1.0,1.0,1.0,1.0,1.0,1.0,2504.395571430599,2368.8326611064217,2639.958481754776
4936,1.0,1.0,1.0,1.0,1.0,1.0,2503.8588248754404,2368.3471431382827,2640.3817878195914
4986,1.0,1.0,1.0,1.0,1.0,1.0,2503.7510308305827,2369.078193382585,2639.436446003753
5036,1.0,1.0,1.0,1.0,1.0,1.0,2504.53283827339,2368.8322261572043,2639.2501126206184
