,Depth,X16SBac,X16SBac_SD,X16SArc,X16SArc_SD,amoAArc,amoAArc_SD,hzo,hzo_SD
GS19_GC10_1,1,106065142.299107,5064385.46316964,7880945.69614955,398510.284423828,6.51E+05,9.00E+04,,
GS19_GC10_2,2,66189989.6056867,9161256.66409603,7216131.51321084,1446083.06229882,9.88E+05,8.25E+04,,
GS19_GC10_3,3,69938416.6666667,2650496.90755208,9840901.04166667,990598.388671875,1.79E+06,1.27E+05,,
GS19_GC10_4,4,17644898.4375,797438.452148438,4862587.5,197133.178710937,1.08E+06,7.64E+04,,
GS19_GC10_5,5,3713945.68583375,428279.859823001,1134485.30538701,33423.598383514,2.24E+05,1.99E+04,,
GS19_GC10_6,6,2540451.20497881,335754.256598693,947198.107013595,40323.7165030787,1.98E+05,2.31E+04,,
GS19_GC10_7,7,1235849.28692512,79119.6398465138,516123.081423202,37100.5364184109,9.66E+04,9.68E+03,,
GS19_GC10_8,8,2875235.91905159,334293.210384048,1456586.48293121,44777.2298260636,2.41E+05,1.90E+04,,
GS19_GC10_9,9,207546.851748512,50748.8205319359,129836.009797596,14264.6494365874,2.30E+04,3.29E+03,,
GS19_GC10_10,10,209413.951286266,23934.3324607469,148890.096867162,8994.7837035206,2.18E+04,6.10E+03,,
GS19_GC10_11,11,241837.232185133,2764.71224698153,171416.773940577,17510.0199381511,4.40E+04,2.50E+03,,
GS19_GC10_12,12,138839.382953926,12811.0220265943,125502.356111877,6183.93053212075,2.65E+04,6.03E+03,,
GS19_GC10_13,13,33727.5207358062,4854.63520837209,26980.3788926866,1367.95018715833,3.83E+03,1.15E+03,,
GS19_GC10_14,14,1487441.74179873,182682.829219584,1165206.83686315,54884.812052216,3.57E+05,4.42E+04,,
GS19_GC10_15,15,1119133.54697348,3112.73406533634,1021950.0886292,143980.311546005,2.81E+05,1.13E+03,,
GS19_GC10_16,16,1503107.58359873,63317.2296414709,1221362.38243929,351451.587069565,3.89E+05,1.61E+05,,
GS19_GC10_17,17,2039381.8359375,124670.945111443,1408110.7823989,129730.364631204,5.03E+05,3.99E+03,,
GS19_GC10_18,18,1298103.20723684,88708.6245888158,984347.630550987,55237.3930278578,3.52E+05,1.11E+05,,
GS19_GC10_19,19,842634.946341192,89419.8733292441,678241.944228203,87787.229056036,2.32E+05,1.88E+04,,
GS19_GC10_20,20,508137.391909523,46852.2970112527,482717.034430919,18454.9205036084,1.50E+05,1.24E+04,,
GS19_GC10_21,21,351839.094895582,30420.4273223877,358128.133920522,43040.7978938176,1.41E+05,1.90E+02,,
GS19_GC10_22,22,233411.621925575,7757.45658289635,198330.314155331,9459.81885139946,6.44E+04,5.78E+03,,
GS19_GC10_23,23,849258.588005515,9654.96556899127,393500.674977021,23731.8474264706,1.61E+05,1.29E+04,,
GS19_GC10_24,24,479951.060901988,51613.9120843471,151179.578179779,11382.0446759635,4.84E+04,7.39E+03,,
GS19_GC10_25,25,173092.935251635,14706.8766660468,44989.0580288199,792.605377906977,1.78E+04,1.53E+03,,
GS19_GC10_26,26,959505.131559552,55755.0577520302,422040.956997749,43872.7494987371,1.39E+05,8.47E+03,,
GS19_GC10_27,27,294895.669812353,30215.0163026613,137740.738057645,12587.9501627984,5.78E+04,7.19E+03,,
GS19_GC10_28,28,765947.326383979,83925.3041539257,229571.754144867,30559.7745455228,8.50E+04,5.14E+03,,
GS19_GC10_29,29,871796.514704364,102971.467677717,300854.283807562,26221.9206352065,8.75E+04,1.09E+04,,
GS19_GC10_30,30,963326.231060606,83041.7055072206,469782.381924715,46854.5717181582,1.27E+05,9.03E+03,,
GS19_GC10_31,31,1043489.15115387,27586.5474540389,401694.098646511,72804.7800924114,1.21E+05,2.80E+04,,
GS19_GC10_32,32,877090.74867278,62255.6030980408,289992.985670171,22217.3455138925,6.71E+02,1.15E+02,,
GS19_GC10_33,33,1007748.2358871,181252.579227571,397243.219191027,65451.5075683594,2.25E+05,4.27E+04,,
GS19_GC10_34,34,966720.608302525,124288.834844317,438881.083897182,2112.35183690275,9.61E+04,7.26E+03,,
GS19_GC10_35,35,1584677.21121652,151654.554094587,440293.535505021,79305.2618844168,1.24E+05,1.71E+04,,
GS19_GC10_36,36,732806.989698637,251612.956168584,287097.748000472,31796.8677496035,9.26E+04,7.31E+03,,
GS19_GC10_37,37,623853.238143585,107670.079033805,194573.194865088,47503.3360955998,7.16E+04,1.46E+03,,
GS19_GC10_38,38,1352153.55657762,177351.730100571,385450.449297505,28873.3259324105,1.30E+05,8.30E+03,,
GS19_GC10_39,39,1428399.21955211,226808.269900218,431376.030704569,37766.9998262942,7.83E+04,9.83E+03,,
GS19_GC10_40,40,214954.767843616,13454.0583244295,68664.0460228285,3938.3764955934,1.47E+04,4.75E+03,,
GS19_GC10_41,41,321359.042463631,31386.6231633329,95706.5626122486,5795.93592676623,5.31E+04,1.87E+03,,
GS19_GC10_42,42,350388.149539799,19863.0717690922,118932.846789708,10012.6446572496,6.60E+04,6.76E+03,,
GS19_GC10_43,43,333553.277489973,54740.3141776508,83989.1647910052,808.847715510404,4.24E+04,2.69E+03,,
GS19_GC10_44,44,358739.600548377,29003.2724233774,87107.3825542744,11447.8353353647,4.01E+04,7.26E+03,,
GS19_GC10_45,45,422561.325672932,77732.6742113938,164353.449792321,17097.8117197361,4.40E+04,1.03E+04,,
GS19_GC10_46,46,393379.945087647,71994.4663295358,229205.143155686,22671.6190105637,8.02E+04,6.96E+03,,
GS19_GC10_47,47,382058.806466584,58786.6090075804,142313.4409083,31888.5538837697,4.68E+04,4.67E+03,,
GS19_GC10_48,48,321773.441395861,95534.3238343585,151049.700797872,28612.4038696289,5.34E+04,5.90E+03,,
GS19_GC10_49,49,298755.867731892,33150.0083718148,101131.982033876,19977.127019234,1.83E+04,1.15E+03,,
GS19_GC10_50,50,208094.031896718,15892.4146214291,73475.0041925478,4972.5002310534,2.62E+04,4.54E+02,,
GS19_GC10_51,51,117557.010461788,3220.49631930814,43795.492342203,3916.49538927739,2.19E+04,8.18E+03,,
GS19_GC10_52,52,352977.999069112,42718.2254918699,192877.978896246,4515.92974248601,7.41E+04,1.77E+04,,
GS19_GC10_53,53,276764.131433824,36570.2617869657,114145.373176126,7788.05957121007,4.11E+04,2.65E+03,,
GS19_GC10_54,54,307006.111054409,21235.5901396473,157337.255772389,23886.5351733572,8.32E+04,1.90E+04,,
GS19_GC10_55,55,430384.938309831,62761.8810818624,237369.322512472,9831.31539795193,1.26E+05,1.41E+04,,
GS19_GC10_56,56,268701.578776041,2918.36787492801,105953.439565805,4615.34549028445,5.60E+04,7.33E+03,,
GS19_GC10_57,57,170181.02389663,14159.8644541271,79054.9662575793,1160.53552769903,4.14E+04,4.88E+03,,
GS19_GC10_58,58,263327.266393083,38945.1830574636,138283.075911275,7214.02168273926,6.93E+04,1.38E+04,,
