"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU_1","Archaea","Unclassified_Archaea","Unclassified_Archaea","Unclassified_Archaea","Unclassified_Archaea","Unclassified_Archaea","Unclassified_Archaea"
"OTU_2","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_3","Bacteria","Planctomycetota","Brocadiae","Brocadiales","Scalinduaceae","Candidatus Scalindua","Unclassified_Candidatus Scalindua"
"OTU_4","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales"
"OTU_5","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Unclassified_Kiloniellaceae","Unclassified_Kiloniellaceae"
"OTU_6","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","Unclassified_Spirochaeta"
"OTU_7","Bacteria","SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)"
"OTU_8","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales"
"OTU_9","Bacteria","Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria"
"OTU_10","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales"
"OTU_11","Bacteria","Chloroflexi","Dehalococcoidia","S085","Unclassified_S085","Unclassified_S085","Unclassified_S085"
"OTU_12","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","Unclassified_Woeseia"
"OTU_13","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_14","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_15","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_16","Bacteria","Planctomycetota","Brocadiae","Brocadiales","Scalinduaceae","Candidatus Scalindua","Unclassified_Candidatus Scalindua"
"OTU_17","Bacteria","Gemmatimonadota","PAUC43f marine benthic group","Unclassified_PAUC43f marine benthic group","Unclassified_PAUC43f marine benthic group","Unclassified_PAUC43f marine benthic group","Unclassified_PAUC43f marine benthic group"
"OTU_18","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales"
"OTU_20","Bacteria","Planctomycetota","Phycisphaerae","C86","Unclassified_C86","Unclassified_C86","Unclassified_C86"
"OTU_21","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Unclassified_Gemmatimonadales","Unclassified_Gemmatimonadales","Unclassified_Gemmatimonadales"
"OTU_23","Bacteria","Chloroflexi","JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66"
"OTU_24","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_25","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Unclassified_Magnetospiraceae","Unclassified_Magnetospiraceae"
"OTU_28","Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria"
"OTU_29","Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Unclassified_Dadabacteriales","Unclassified_Dadabacteriales","Unclassified_Dadabacteriales"
"OTU_30","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteria group 2","Unclassified_Acidobacteria group 2","Unclassified_Acidobacteria group 2","Unclassified_Acidobacteria group 2"
"OTU_32","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","Unclassified_Woeseia"
"OTU_33","Bacteria","SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)"
"OTU_35","Bacteria","SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)"
"OTU_38","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_39","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","Unclassified_Pir4 lineage"
"OTU_40","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
